Station,PM10_Level,Pollution_Sent,Pollution_Received,Net_Position,Is_Target
Borgo Valsugana,10.118762444001991,17.61583108538203,18.598883759008903,-0.9830526736268723,True
Monte Gaza,22.56352663016426,21.154497731739283,17.36058932328526,3.7939084084540227,True
Parco S. Chiara,19.65855268177039,23.754720174062136,17.295647775986012,6.459072398076124,True
Piana Rotaliana,22.976636386261823,47.00053685381589,17.140383348052772,29.860153505763115,True
Riva del Garda,18.593587212352055,15.872411151041511,18.063777048047275,-2.1913658970057632,False
Rovereto,19.694131616061057,22.486457946480854,17.523928251996185,4.962529694484669,False
"A22_sud,_Termeno,_c/o_Maso_Binnenland",16.911314251151524,37.99498115339501,17.39926081068585,20.59572034270916,False
"Brunico_1,_c/o_parcheggio_di_via_Goethe",14.466396171454397,1.6818531878802976,17.624674203825975,-15.942821015945677,False
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",15.47591546327021,7.295754484586529,17.18672735228225,-9.890972867695723,False
Bolzano_4-Via_C.Augusta,19.19076167493143,30.902877236856952,16.758702298308503,14.14417493854845,False
Bolzano_5-P.zza_Adriano,16.81171158126479,19.652912314846503,17.32410011825386,2.3288121965926436,False
"Laces_1-Via_Stazione,_parcheggio_fs",17.135759277699147,2.989743195796839,18.288323674039965,-15.298580478243126,False
"Laives_1,_c/o_campi_sportivi_zona_Galizia",18.191539327797084,29.321303449690877,16.62115301546832,12.700150434222557,False
"Merano_1,_Via_Trogman",17.18400439650677,20.099800094563726,17.474713030491845,2.625087064071881,False
Bergamo-via_Garibaldi_PM10,30.57836668873493,37.30755474315468,25.786254162356002,11.52130058079868,False
Brescia-Broletto_PM10,30.879925918171107,10.200648863433647,27.839200034056013,-17.638551170622364,False
Calusco_d'Adda_PM10,26.346959709871154,42.70021656145626,27.06925018798137,15.630966373474887,False
Filago-via_Don_Milani_PM10,30.03736435912578,48.833158967212135,26.485753735899824,22.34740523131231,False
Lallio_PM10,29.310697351570017,35.760917420307685,25.974159784536255,9.78675763577143,False
Mantova-p.zza_Gramsci_PM10,31.642488712954883,2.9329805323317713,23.514104509420523,-20.58112397708875,False
Mantova-S.Agnese_PM10,30.58247619408679,5.772110206797672,23.367111119721855,-17.595000912924185,False
Osio_Sotto_PM10,28.743735621532917,35.069188002711776,26.058200072891946,9.01098792981983,False
Parona_PM10,30.884108419683937,16.445229302817808,27.728100488248078,-11.28287118543027,False
Pavia-p.zza_Minerva_PM10,34.86872453530546,38.258805141411564,26.833757525924604,11.42504761548696,False
Sannazzaro_de'_Burgondi-AGIP_PM10,28.98211145074549,15.43245030779519,28.448756497500302,-13.016306189705112,False
Sarezzo-via_Minelli_PM10,27.407896554731703,22.895452117616898,26.19337594196911,-3.2979238243522104,False
Valmadrera_PM10,23.07162157902611,28.213646460822915,27.81873763164718,0.39490882917573344,False
Vigevano-via_Valletta_PM10,32.10766722316201,17.096752241904948,27.582807680974668,-10.48605543906972,False
Voghera-via_Pozzoni_PM10,26.800442164141675,14.27075086050767,28.707821165493208,-14.437070304985538,False
Conegliano,24.04283750483052,15.864356039004054,24.863399781462647,-8.999043742458593,False
TV_Lancieri,31.174822877479894,20.57030454420634,23.922210080422193,-3.3519055362158525,False
Mansue,27.457446982798206,18.117442035270237,24.412782582209417,-6.29534054693918,False
TV_S_Agnese,33.46972866841913,22.084568513095935,23.619357286644274,-1.534788773548339,False
Bissuola,30.3309274689519,20.01347104991187,24.03357677928109,-4.02010572936922,False
VE_Tagliamento,34.46831587879331,22.743473396439633,23.487576309975537,-0.7441029135359045,False
