Station,Actual_PM10,Fitted_PM10,Local_Effect,Neighbor_Context,Spatial_Spillover,Residual,Spillover_Pct,Local_Pct
Borgo Valsugana,10.118762444001991,21.091258127412587,4.656685037467595,16.07018971853388,16.565928555732828,-10.972495683410596,78.54405107394648,98.2723488129069
Monte Gaza,22.56352663016426,19.860993396711372,4.453247508757311,16.072697634236242,15.33438869240691,2.7025332334528898,77.20856850466508,103.3480286358299
Parco S. Chiara,19.65855268177039,20.26189178983687,4.523712718121015,16.049599278084873,15.747031287093023,-0.6033391080664785,77.71747796516982,101.53697497548191
Piana Rotaliana,22.976636386261823,21.025394862514254,4.496341293576485,16.05606366116951,16.50724758830436,1.9512415237475693,78.51099918097042,97.7503875153777
