Source,Weight,PM10,Contribution
"A22_sud,_Termeno,_c/o_Maso_Binnenland",0.16666666666666666,16.911314251151524,2.4022000596617037
Rovereto,0.16666666666666666,19.694131616061057,2.7974906882157864
"Laives_1,_c/o_campi_sportivi_zona_Galizia",0.16666666666666666,18.191539327797084,2.5840520854608795
Bolzano_4-Via_C.Augusta,0.16666666666666666,19.19076167493143,2.7259885397336743
