,Borgo Valsugana,Monte Gaza,Parco S. Chiara,Piana Rotaliana
Borgo Valsugana,1.301421840880606,0.2838396441365045,0.5504370219535732,0.8202459130961809
Monte Gaza,0.46723289115275063,1.325856600833078,0.6130774295895399,0.8249503763028625
Parco S. Chiara,0.4672328911527508,0.45023583192499644,1.4886981984976217,0.8249503763028625
Piana Rotaliana,0.3220452918199988,0.41344491199516475,0.5582281876906192,1.6964518195206104
