Station,Total_Spillover,Internal_Spillover,External_Spillover,Internal_Pct,External_Pct,N_Internal_Neighbors,N_External_Neighbors
Borgo Valsugana,16.565928555732828,6.056197182660783,10.509731373072043,36.55815104046774,63.44184895953225,2,4
Monte Gaza,15.33438869240691,7.493536196394093,7.840852496012815,48.86752479480742,51.13247520519256,3,3
Parco S. Chiara,15.747031287093023,7.906178791080208,7.840852496012815,50.207424161025635,49.792575838974365,3,3
Piana Rotaliana,16.50724758830436,5.997516215232316,10.509731373072043,36.33262409828789,63.667375901712106,2,4
