Neighbor,Weight,Neighbor_PM10,Contribution,Pct_of_Spillover
Piana Rotaliana,0.16666666666666666,22.976636386261823,3.8294393977103036,19.701644622016808
Rovereto,0.16666666666666666,19.694131616061057,3.282355269343509,16.88701408317787
Parco S. Chiara,0.16666666666666666,19.65855268177039,3.2764254469617318,16.856506418450934
Bolzano_4-Via_C.Augusta,0.16666666666666666,19.19076167493143,3.1984602791552383,16.455392346783455
"Laives_1,_c/o_campi_sportivi_zona_Galizia",0.16666666666666666,18.191539327797084,3.0319232212995137,15.598594891722136
"A22_sud,_Termeno,_c/o_Maso_Binnenland",0.16666666666666666,16.911314251151524,2.8185523751919206,14.500847637848805
