Variable,VIF
temperature_850,331114.958412095
temperature_950,307652.6168704565
temperature_550,58255.012572285355
temperature_2m,56508.28604935737
surface_pressure,2334.876653168903
humidity_950,340.38833579631836
humidity_850,251.3356015420522
humidity_550,35.29486864231806
solar_radiation_downwards,32.021172682076205
blh,22.100289987332005
uwind_950,7.967300174282971
uwind_850,4.324678199424086
wind_u_10m,4.121403412019291
Vwind_850,3.994348269870711
uwind_550,3.8394377653465184
wind_v_10m,3.8109136824928904
total_precipitation,3.4187253876547397
Vwind_950,3.283628498103289
Vwind_550,2.685690463049605
