Station,Cluster,Longitude,Latitude,PCA_1,PCA_2,Vwind_550,Vwind_850,Vwind_950,blh,humidity_550,humidity_850,humidity_950,solar_radiation_downwards,surface_pressure,temperature_2m,temperature_550,temperature_850,temperature_950,total_precipitation,uwind_550,uwind_850,uwind_950,wind_u_10m,wind_v_10m,pm10
402201,1,11.45389,46.05184,-3.3636101592012113,-0.3204860266143542,-1.5712911417663955,-0.012464682720136849,-0.07678462665241116,338.6337569635214,49.54535014173642,69.58314639133101,73.67390931210261,546695.941399793,87031.98656476018,280.29169704937885,259.83710100951805,280.377263547228,286.3039357512135,31.49891920155602,5.501841004549092,-0.050397078702040514,-0.16324471693825515,-0.09441927299821364,-0.12444894999039241,22.575902346445826
402203,1,10.95804,46.08253,-3.261421464574535,-0.5315888367609051,-1.515723723030764,0.04042323536060667,-0.06328423303138138,314.57926968610593,50.76650312051715,69.72465144701918,72.27248473723316,551398.443064234,88955.34506027433,281.6423489996549,259.880471142121,280.3721195617897,286.4827913438808,29.747360051149002,5.470718306135963,0.31079265786781146,0.2196441955829063,0.11009452914917398,0.02070958054499463,10.107018633540374
402204,1,10.84448,45.89146,-2.269651396937315,-1.260891476956374,-1.4529799692868433,0.08425620144674033,-0.11612597658009742,319.41166693036575,49.798479068511696,69.29034971633452,72.62194734405567,544487.0943596015,93201.45559167529,284.17244330402,259.96736731834596,280.48220369221303,286.42308944479527,30.467949382025754,5.447325250916764,0.3526114807107429,0.059139498036412504,0.12161124392375586,-0.04832352733336699,19.66073553010851
402206,1,11.03941,45.89243,-2.258093643950083,-1.1303103613864924,-1.4836055960791918,0.05669761878868024,-0.14231098744339885,330.16532421591614,49.45113213896725,68.76490341495372,72.59109132705947,543982.4061766735,92371.19177007419,283.7671080298654,259.95381556761555,280.45655065101215,286.30481890266276,29.154447576868684,5.424894805287174,0.2166781826797325,-0.059830337011056854,0.052957082218057415,-0.022008065219650638,18.508967917586357
402209,1,11.1262,46.06292,-2.2185473852661537,-0.0336130107362118,-1.547574362980284,0.08732258717112384,0.016988596914895484,337.62239811636647,49.72275137127846,68.36268585305851,71.70314785251898,548763.2910062629,90947.67452197205,282.86628553026225,259.8690112805728,280.3718943030021,286.3780642317748,26.76548863789918,5.481702972005158,0.15197073716042317,0.03781782286993978,-0.005550249766251263,0.04608573906186899,19.7027104899931
402211,1,11.11022,46.10433,-2.218547385266152,-0.03361301073621202,-1.547574362980284,0.08732258717112384,0.016988596914895484,337.62239811636647,49.72275137127846,68.36268585305851,71.70314785251898,548763.2910062629,90947.67452197205,282.86628553026225,259.8690112805728,280.3718943030021,286.3780642317748,26.76548863789918,5.481702972005158,0.15197073716042317,0.03781782286993978,-0.005550249766251263,0.04608573906186899,23.006873706004143
402212,3,11.11343,46.19683,-1.8366411451405549,1.2375187712151048,-1.6525284656103856,0.10074586105541714,0.0016515649869930414,355.79957409154247,49.89856229983132,66.65417962053999,67.16566398657177,555307.5376474293,89764.16457373189,282.06351277089374,259.77278156571197,280.4016804111686,286.48636710705085,26.99249604025008,5.609466525632461,0.15278421627249378,0.10697432310564194,0.020656969175709028,0.041714481987481566,17.282385540641293
402213,1,10.97043,45.74215,-2.1506239197057018,-1.1674758796988791,-1.4529799692868433,0.08425620144674033,-0.11612597658009742,319.41166693036575,49.798479068511696,69.29034971633452,72.62194734405567,554120.9833728434,89861.84323315218,282.8114432874224,259.96736731834596,280.48220369221303,286.42308944479527,27.497993288952422,5.447325250916764,0.3526114807107429,0.059139498036412504,-0.06144777574034332,-0.1664062222932307,18.590655300844027
502604,0,12.3069444,45.8894444,0.27799029410675097,-3.64221372358206,-1.434448869168447,0.23658413001286402,-0.10229968067725778,305.8825988876579,49.76030409909846,66.47069407765039,66.0167958182733,544030.2071851277,99322.1009212129,286.29953854001036,259.8669586858695,280.38989909419143,285.8325640278468,26.736563413786783,5.485412254640891,0.595184110614653,-1.2974128579897155,-0.18074574345961286,-0.39652725722672033,24.064248512068495
502608,0,12.2377778,45.6716667,1.1465666941031598,-3.93914098029867,-1.434448869168447,0.23658413001286402,-0.10229968067725778,305.8825988876579,49.76030409909846,66.47069407765039,66.0167958182733,560955.1567520703,100637.08502576778,286.8218732925811,259.8669586858695,280.38989909419143,285.8325640278468,23.209313490584652,5.485412254640891,0.595184110614653,-1.2974128579897155,-0.6289857001086633,-0.5741634840281392,31.23660562168193
502609,0,12.5104083,45.8368944,0.8756793314988447,-4.3002557632856915,-1.4676324935463338,0.18455247581534115,-0.28040710045988343,308.20788542005266,50.12334228373085,65.75054386062757,65.71641466390327,556323.3651108523,101776.438284912,287.3945027404589,259.85432742652404,280.3823686325109,285.8397132913791,25.567069248486334,5.489745110327837,0.5700208505375571,-1.5736985342488514,-0.5205372170800436,-0.607705643406346,27.49789538418078
502612,0,12.2160833,45.6589167,1.9234955375485223,-3.6590134617276227,-1.4710415712512008,0.1570872320320706,-0.17025082841805925,325.74691172317375,49.04096261192834,64.52476646090639,65.6722773286232,560955.1567520703,100637.08502576778,286.8218732925811,259.9800291793536,280.59094771978374,285.99957379852196,23.209313490584652,5.462280388783073,0.7389764605724759,-1.5829603873828169,-0.6289857001086633,-0.5741634840281392,33.5146010174568
502701,0,12.2614453,45.4996764,2.5982026671754506,-4.328084253103669,-1.4779805141766342,0.11983590854987787,-0.20258614645640755,318.5070204806039,49.33903809931338,64.28059247023619,65.3741908571164,573835.6370837647,101903.41191845239,288.1045036231194,259.9650441328675,280.57701789198296,286.01436846989304,23.000350643361397,5.456899077090489,0.6610438924255664,-1.7377691242788416,-1.2877307095471897,-0.6324796660629702,30.394882653753992
502720,0,12.2170993,45.4883584,2.5718518707357,-3.9636460480965687,-1.4710415712512008,0.1570872320320706,-0.17025082841805925,325.74691172317375,49.04096261192834,64.52476646090639,65.6722773286232,573658.4031724465,101389.75770347654,287.73284020445135,259.9800291793536,280.59094771978374,285.99957379852196,21.99615686083847,5.462280388783073,0.7389764605724759,-1.5829603873828169,-1.1023410087264596,-0.6107701080712319,34.574821119639026
AB2,3,11.27933,46.34365,-1.4296263111632475,2.085269624008467,-1.6518101720088199,0.07005681175334284,-0.0213666588361103,390.08956226924084,49.20768249823571,67.35847764463607,68.20986418796181,554586.927182022,89068.757348059,281.88984272853696,259.74307880299057,280.41137488841156,286.4378941028698,21.4035453766629,5.6681952610579645,-0.1861512325308391,-0.21800154169959807,-0.15353881239843317,0.03408688268992647,16.919520592136408
ARPAL_001,4,9.6612593592,45.6956859557,-0.33917386293725366,-0.78863486901797,-1.5998409599696157,0.021587795015175493,-0.1929233392785151,299.78877041785887,49.72110342742551,67.22004699256635,68.70069548587647,559049.926416715,97717.47482045376,285.4391125747067,260.011182880452,280.617520097136,286.48045638275823,25.116024965059115,5.624895197809297,0.17212111535141883,-0.2254744580466098,-0.13048322387121122,-0.5489408468608193,30.57589459693671
ARPAL_002,4,10.2228199867,45.5400637713,1.4305477074890156,-0.004352123476919445,-1.600998161580691,0.24969212482706424,-0.05968276210781659,323.8010291573335,48.56980192857976,66.37027234891721,66.28171198635725,568163.4752135093,99106.43101265527,286.88305254546236,260.09670910936853,280.7040055513515,286.43230570871293,22.638326852272574,5.664536683585328,0.48906544865569745,-0.3788310890732519,-0.15466294007503706,-0.24988557501406392,30.881695539645374
ARPAL_005,4,9.4842612412,45.6904356478,-0.18548608661996,-0.5929322188968571,-1.5998409599696157,0.021587795015175493,-0.1929233392785151,327.57339679113875,49.72110342742551,67.22004699256635,68.70069548587647,560008.3493934231,98567.63283460145,286.09626616128367,260.011182880452,280.617520097136,286.48045638275823,25.510989713471716,5.624895197809297,0.17212111535141883,-0.2254744580466098,-0.15997120940994125,-0.5367525862074568,26.36485331680084
ARPAL_007,4,9.5560952366,45.6338721064,2.3858426386777745,0.5307016209625419,-1.612711505351689,0.42853188528088954,0.15080574186702397,333.33442490036146,48.23405767901975,65.4665228892131,63.69502716040465,565634.0514195134,98895.91674246894,286.2134910871118,260.12556517077866,280.74358440464687,286.44832125513,22.946298157031013,5.699532896204275,0.30725131522240234,-0.5917307926830007,-0.12805080669333857,-0.4464859473954677,30.073648903973954
ARPAL_008,4,9.6185789755,45.6596706133,2.1664771701754493,0.23652952557390217,-1.612711505351689,0.42853188528088954,0.15080574186702397,333.33442490036146,48.23405767901975,65.4665228892131,63.69502716040465,559571.8601037405,98277.05836082644,285.81626220500345,260.12556517077866,280.74358440464687,286.44832125513,25.274896347364052,5.699532896204275,0.30725131522240234,-0.5917307926830007,-0.14526251428544318,-0.545058668983849,29.327813285367935
ARPAL_011,2,10.781417503,45.1517517783,3.6804376636342266,0.48737267353208374,-1.5995855441565126,0.4428499555843394,-0.15569871799465262,399.17608260021825,47.227796669586354,64.93079985677053,64.91552610492535,587610.9838845755,100548.84324177881,287.58883139335745,260.25317136150795,280.86881254884406,286.5173377159823,20.00419730045637,5.613332549157666,0.6416825183160723,-1.1700513964101082,-0.368295026362722,-0.23293224017569367,31.69862098904416
ARPAL_012,2,10.7955736602,45.1605765516,3.6804376636342266,0.48737267353208374,-1.5995855441565126,0.4428499555843394,-0.15569871799465262,399.17608260021825,47.227796669586354,64.93079985677053,64.91552610492535,587610.9838845755,100548.84324177881,287.58883139335745,260.25317136150795,280.86881254884406,286.5173377159823,20.00419730045637,5.613332549157666,0.6416825183160723,-1.1700513964101082,-0.368295026362722,-0.23293224017569367,30.63723594516918
ARPAL_017,4,9.6117378218,45.6205556794,2.3858426386777745,0.530701620962542,-1.612711505351689,0.42853188528088954,0.15080574186702397,333.33442490036146,48.23405767901975,65.4665228892131,63.69502716040465,565634.0514195134,98895.91674246894,286.2134910871118,260.12556517077866,280.74358440464687,286.44832125513,22.946298157031013,5.699532896204275,0.30725131522240234,-0.5917307926830007,-0.12805080669333857,-0.4464859473954677,28.759242332480973
ARPAL_019,2,8.7543362218,45.281942635,3.189296404842964,1.4503575403574072,-1.6887912216765637,0.3203936950071756,-0.022656178099367767,380.1120675250966,47.67869262530297,63.934318494811194,64.32881619173891,575157.0013738268,100499.87367138545,287.3208483725673,260.2921658172993,280.93504497491375,286.41890857606967,22.67249657875255,5.685310619617852,-0.24424380460903714,-1.1070169167517767,-0.279771447812696,-0.40929220810688943,30.920738057530652
ARPAL_020,2,9.1466771328,45.1863357275,3.9112290325804664,2.3302444667244413,-1.6184433197418253,0.5526560545789324,0.35835582740291166,382.181715780804,47.704503732826026,64.31055827025679,64.60649674217979,578699.9854848172,100705.51196676155,287.6496874364907,260.26652952199794,280.9205355671843,286.4285560814527,19.08584115947399,5.70378235655235,-0.021731522741746674,-0.9390661442651856,-0.20569604826347357,-0.06557644664830742,34.91351678867141
ARPAL_022,2,8.9041863358,45.1027739383,4.9826518498389065,3.583121996257457,-1.697136447732658,0.4532743675967329,0.439411875146198,389.3090497993737,46.41260318079813,61.850103980925255,65.13752904917357,577417.9335969116,100466.06756027433,287.64453956316424,260.40090436141594,281.1668820478261,286.3757838877559,16.029446367120002,5.879354306673623,0.06897957828992668,-0.7156657010772782,-0.1472765245019126,-0.15278020081090254,29.032935976193468
ARPAL_023,4,10.2050902188,45.6496267122,0.9824051966141802,0.009655668572119356,-1.600998161580691,0.24969212482706424,-0.05968276210781659,323.8010291573335,48.56980192857976,66.37027234891721,66.28171198635725,559228.8948923827,96380.21562445653,285.5220233453071,260.09670910936853,280.7040055513515,286.43230570871293,23.077155636507715,5.664536683585328,0.48906544865569745,-0.3788310890732519,-0.060084834266892984,-0.3001195330042864,27.40786552114446
ARPAL_026,4,9.3516638635,45.8422121938,-0.9100004293711434,-0.31149255638865797,-1.6462618758653893,-0.17449566081710574,-0.24877048746066618,327.57339679113875,49.46029280861898,65.97704278288484,67.56231935726363,554381.3554707867,95967.71240844548,285.037559859196,260.0272199029158,280.6323166642685,286.46951644779733,30.76289294995503,5.630987628928726,-0.0785981071640022,-0.3047220111500246,-0.1490169599321893,-0.43606463872788515,23.098436417867283
ARPAL_027,2,8.8448054859,45.3036140819,3.189296404842964,1.4503575403574072,-1.6887912216765637,0.3203936950071756,-0.022656178099367767,380.1120675250966,47.67869262530297,63.934318494811194,64.32881619173891,575157.0013738268,100499.87367138545,287.3208483725673,260.2921658172993,280.93504497491375,286.41890857606967,22.67249657875255,5.685310619617852,-0.24424380460903714,-1.1070169167517767,-0.279771447812696,-0.40929220810688943,32.149324144642435
ARPAL_028,2,9.0084485483,44.9995542701,4.805761327175743,4.085551961293573,-1.6786125681709756,0.6599445091892265,0.5898306951202369,386.4839812380642,46.48070074800283,62.76876613698213,66.39700384355591,576475.2495600415,99406.10122141994,287.18161879791234,260.37457042065796,281.1399048929894,286.40865828828504,16.954304844572814,5.85166925947764,-0.033487147887057644,-0.7119170696528747,-0.1693598207012765,0.12857788910243828,26.822212388400988
BR1,5,11.94403,46.79735,-5.661955865449845,0.4383879345648207,-1.761851123677858,-0.2210462550737871,-0.21129496598301217,387.8721108334067,51.326420824364426,75.21805355604648,75.56478178750173,557665.1190962733,85701.37089533299,278.14433660881645,259.4761472297216,279.82602367529904,285.8476439612664,22.072766448154287,5.666739234923144,-0.07492172898598,-0.07795068774829171,-0.09050909465279999,-0.3267806158593182,14.477962549403282
BX1,5,11.65408,46.71492,-4.944360504170196,0.974712662694528,-1.7850703148144593,-0.2544067459219694,-0.2583997450740068,395.7876581354934,51.00188211492032,71.996546206574,72.72005263631816,561208.7123364389,84454.87586082643,278.2318396242926,259.4938884105245,279.9005041635208,285.9599642436508,20.768229812541502,5.6509549120333045,-0.08168064662858894,-0.06827590068504562,-0.1233793349758561,-0.23992471332650617,15.49530345018019
BZ4,3,11.34183,46.48231,-1.2228279763245025,2.2955426900600426,-1.7141129918665312,-0.06558849716400841,-0.17028639171559654,409.03818443428224,49.390946157944846,65.23998371237161,65.36038267456522,564647.0503928572,91501.17785530539,283.4054191292098,259.6420896558776,280.30560267480445,286.397149740689,21.390825288427223,5.719181120823466,-0.14067249765806594,-0.085472696748429,-0.025973577660696766,-0.08320788666640125,19.229030674641
BZ5,3,11.33997,46.49547,-1.2228279763245025,2.2955426900600426,-1.7141129918665312,-0.06558849716400841,-0.17028639171559654,409.03818443428224,49.390946157944846,65.23998371237161,65.36038267456522,564647.0503928572,91501.17785530539,283.4054191292098,259.6420896558776,280.30560267480445,286.397149740689,21.390825288427223,5.719181120823466,-0.14067249765806594,-0.085472696748429,-0.025973577660696766,-0.08320788666640125,16.81389204145472
LA1,5,10.85906,46.61947,-5.80743251470671,1.6166103108260834,-1.9076671941586376,-0.20273601370865094,-0.21110918224805286,301.94682497015873,52.534028280959056,73.57460169251488,73.61362707029618,597975.8377249828,82370.19208235852,276.2246716802795,259.60590622911207,280.3255784945192,286.3186710010927,29.016202499730525,5.707081839422188,0.43208538011188424,0.472148675125933,0.4513166046463079,-0.20088147166395018,17.18692931677451
LS1,3,11.34014,46.43483,-1.3266272435604483,2.2878888298636006,-1.7141129918665312,-0.06558849716400841,-0.17028639171559654,409.03818443428224,49.390946157944846,65.23998371237161,65.36038267456522,559249.6727893375,90861.00846779675,283.03720074170116,259.6420896558776,280.30560267480445,286.397149740689,21.120120843298512,5.719181120823466,-0.14067249765806594,-0.085472696748429,-0.09601559710129674,-0.022065136643037463,18.200755905363646
ME1,5,11.16163,46.662,-3.556556822682602,1.5943037993458655,-1.814260250594225,-0.10627962473051725,-0.20900925834565323,354.05759445255694,50.90137081325079,68.48168928855168,67.998204330804,578829.5877763975,85222.19013791408,278.383517106884,259.6349498163216,280.358278702726,286.4199118916379,27.90425855064936,5.682505298477955,0.21339205745424328,0.2697861407879766,0.24007749155178748,-0.37318270000511694,17.20281654897109
