Station,Variable,Mean_Value,Local_Morans_I,P_value,Cluster_Type,Significant
Mantova-p.zza_Gramsci_PM10,TEMP,287.60789388097305,-0.06687473149799766,0.424,Not Significant,False
Mantova-S.Agnese_PM10,TEMP,287.60789388097305,-0.06687473149799766,0.424,Not Significant,False
Osio_Sotto_PM10,TEMP,286.2325484598474,0.18515287246319856,0.188,Not Significant,False
Parona_PM10,TEMP,287.34123582130417,0.6164663146034804,0.014,High-High,True
Pavia-p.zza_Minerva_PM10,TEMP,287.6696492616559,0.7324108801031898,0.009,High-High,True
Sannazzaro_de'_Burgondi-AGIP_PM10,TEMP,287.6646165367305,0.7314764583218525,0.009,High-High,True
Sarezzo-via_Minelli_PM10,TEMP,285.5391410370002,0.09612095859112359,0.233,Not Significant,False
Valmadrera_PM10,TEMP,285.0550991826364,0.08041993551690613,0.09,Not Significant,False
Vigevano-via_Valletta_PM10,TEMP,287.34123582130417,0.6164663146034804,0.016,High-High,True
Voghera-via_Pozzoni_PM10,TEMP,287.1988530509582,0.6414231797730339,0.007,High-High,True
Conegliano,TEMP,286.31684261987726,0.3199098469094762,0.051,Not Significant,False
TV_Lancieri,TEMP,286.841397019143,0.3964369566418642,0.059,Not Significant,False
Mansue,TEMP,287.41308139746144,0.46962143088486347,0.069,Not Significant,False
TV_S_Agnese,TEMP,286.841397019143,0.3964369566418642,0.063,Not Significant,False
Bissuola,TEMP,288.12343605639205,0.5457088062560316,0.085,Not Significant,False
VE_Tagliamento,TEMP,287.75179042682925,0.5079536442576669,0.077,Not Significant,False
Borgo Valsugana,BLH,315.0875285091619,-0.13149900251715332,0.386,Not Significant,False
Monte Gaza,BLH,339.1614516303717,0.07809826477994493,0.217,Not Significant,False
Parco S. Chiara,BLH,319.8954802203263,0.16923735847837507,0.266,Not Significant,False
Piana Rotaliana,BLH,338.1558729845746,-0.04482956694646823,0.374,Not Significant,False
Riva del Garda,BLH,319.8954802203263,0.15121151094248492,0.279,Not Significant,False
Rovereto,BLH,338.1558729845746,0.19297786906900966,0.042,Low-Low,True
Via Bolzano,BLH,330.6601804217947,0.12194421655676667,0.25,Not Significant,False
"A22_sud,_Termeno,_c/o_Maso_Binnenland",BLH,390.7211506578106,0.6292645245097557,0.07,Not Significant,False
"Brunico_1,_c/o_parcheggio_di_via_Goethe",BLH,388.51014122867923,1.350998993990988,0.001,High-High,True
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",BLH,396.43241528025965,1.578407743995594,0.001,High-High,True
Bolzano_4-Via_C.Augusta,BLH,409.6690808003256,1.539481348273697,0.003,High-High,True
Bolzano_5-P.zza_Adriano,BLH,409.6690808003256,1.539481348273697,0.003,High-High,True
"Laces_1-Via_Stazione,_parcheggio_fs",BLH,302.44019116740293,-1.2835652357323633,0.006,Low-High,True
"Laives_1,_c/o_campi_sportivi_zona_Galizia",BLH,409.6690808003256,0.9200655882512218,0.063,Not Significant,False
"Merano_1,_Via_Trogman",BLH,354.6070284128402,0.10524840122564755,0.026,High-High,True
Bergamo-via_Garibaldi_PM10,BLH,300.2517998131118,0.7181206748766815,0.054,Not Significant,False
Brescia-Broletto_PM10,BLH,324.28814479407254,0.22765305935081986,0.188,Not Significant,False
Calusco_d'Adda_PM10,BLH,328.0753359399058,0.2293864375898064,0.154,Not Significant,False
Filago-via_Don_Milani_PM10,BLH,333.8270312744628,0.17926523554335952,0.135,Not Significant,False
Lallio_PM10,BLH,333.8270312744628,0.2953430113820251,0.022,Low-Low,True
Mantova-p.zza_Gramsci_PM10,BLH,399.76639332224784,-0.327768595453062,0.305,Not Significant,False
Mantova-S.Agnese_PM10,BLH,399.76639332224784,-0.327768595453062,0.305,Not Significant,False
Osio_Sotto_PM10,BLH,333.8270312744628,0.2953430113820251,0.032,Low-Low,True
Parona_PM10,BLH,380.6848126317146,0.3921484096253854,0.103,Not Significant,False
Pavia-p.zza_Minerva_PM10,BLH,382.74591206791837,0.4336031203524863,0.095,Not Significant,False
Sannazzaro_de'_Burgondi-AGIP_PM10,BLH,389.8555103208479,0.49006076666142345,0.104,Not Significant,False
