station_id,pm10,temperature_2m,humidity_950,blh,solar_radiation_downwards,wind_u_10m,wind_v_10m,uwind_850,uwind_950,Vwind_850,Vwind_950,total_precipitation
402201,22.575902346445826,280.29169704937885,73.67390931210261,338.6337569635214,546695.941399793,-0.09441927299821364,-0.12444894999039241,-0.050397078702040514,-0.16324471693825515,-0.012464682720136849,-0.07678462665241116,31.49891920155602
402203,10.107018633540374,281.6423489996549,72.27248473723316,314.57926968610593,551398.443064234,0.11009452914917398,0.02070958054499463,0.31079265786781146,0.2196441955829063,0.04042323536060667,-0.06328423303138138,29.747360051149002
402204,19.66073553010851,284.17244330402,72.62194734405567,319.41166693036575,544487.0943596015,0.12161124392375586,-0.04832352733336699,0.3526114807107429,0.059139498036412504,0.08425620144674033,-0.11612597658009742,30.467949382025754
402206,18.508967917586357,283.7671080298654,72.59109132705947,330.16532421591614,543982.4061766735,0.052957082218057415,-0.022008065219650638,0.2166781826797325,-0.059830337011056854,0.05669761878868024,-0.14231098744339885,29.154447576868684
402209,19.7027104899931,282.86628553026225,71.70314785251898,337.62239811636647,548763.2910062629,-0.005550249766251263,0.04608573906186899,0.15197073716042317,0.03781782286993978,0.08732258717112384,0.016988596914895484,26.76548863789918
402211,23.006873706004143,282.86628553026225,71.70314785251898,337.62239811636647,548763.2910062629,-0.005550249766251263,0.04608573906186899,0.15197073716042317,0.03781782286993978,0.08732258717112384,0.016988596914895484,26.76548863789918
402212,17.282385540641293,282.06351277089374,67.16566398657177,355.79957409154247,555307.5376474293,0.020656969175709028,0.041714481987481566,0.15278421627249378,0.10697432310564194,0.10074586105541714,0.0016515649869930414,26.99249604025008
402213,18.590655300844027,282.8114432874224,72.62194734405567,319.41166693036575,554120.9833728434,-0.06144777574034332,-0.1664062222932307,0.3526114807107429,0.059139498036412504,0.08425620144674033,-0.11612597658009742,27.497993288952422
502604,24.064248512068495,286.29953854001036,66.0167958182733,305.8825988876579,544030.2071851277,-0.18074574345961286,-0.39652725722672033,0.595184110614653,-1.2974128579897155,0.23658413001286402,-0.10229968067725778,26.736563413786783
502608,31.23660562168193,286.8218732925811,66.0167958182733,305.8825988876579,560955.1567520703,-0.6289857001086633,-0.5741634840281392,0.595184110614653,-1.2974128579897155,0.23658413001286402,-0.10229968067725778,23.209313490584652
502609,27.49789538418078,287.3945027404589,65.71641466390327,308.20788542005266,556323.3651108523,-0.5205372170800436,-0.607705643406346,0.5700208505375571,-1.5736985342488514,0.18455247581534115,-0.28040710045988343,25.567069248486334
502612,33.5146010174568,286.8218732925811,65.6722773286232,325.74691172317375,560955.1567520703,-0.6289857001086633,-0.5741634840281392,0.7389764605724759,-1.5829603873828169,0.1570872320320706,-0.17025082841805925,23.209313490584652
502701,30.394882653753992,288.1045036231194,65.3741908571164,318.5070204806039,573835.6370837647,-1.2877307095471897,-0.6324796660629702,0.6610438924255664,-1.7377691242788416,0.11983590854987787,-0.20258614645640755,23.000350643361397
502720,34.574821119639026,287.73284020445135,65.6722773286232,325.74691172317375,573658.4031724465,-1.1023410087264596,-0.6107701080712319,0.7389764605724759,-1.5829603873828169,0.1570872320320706,-0.17025082841805925,21.99615686083847
AB2,16.919520592136408,281.88984272853696,68.20986418796181,390.08956226924084,554586.927182022,-0.15353881239843317,0.03408688268992647,-0.1861512325308391,-0.21800154169959807,0.07005681175334284,-0.0213666588361103,21.4035453766629
ARPAL_001,30.57589459693671,285.4391125747067,68.70069548587647,299.78877041785887,559049.926416715,-0.13048322387121122,-0.5489408468608193,0.17212111535141883,-0.2254744580466098,0.021587795015175493,-0.1929233392785151,25.116024965059115
ARPAL_002,30.881695539645374,286.88305254546236,66.28171198635725,323.8010291573335,568163.4752135093,-0.15466294007503706,-0.24988557501406392,0.48906544865569745,-0.3788310890732519,0.24969212482706424,-0.05968276210781659,22.638326852272574
ARPAL_005,26.36485331680084,286.09626616128367,68.70069548587647,327.57339679113875,560008.3493934231,-0.15997120940994125,-0.5367525862074568,0.17212111535141883,-0.2254744580466098,0.021587795015175493,-0.1929233392785151,25.510989713471716
ARPAL_007,30.073648903973954,286.2134910871118,63.69502716040465,333.33442490036146,565634.0514195134,-0.12805080669333857,-0.4464859473954677,0.30725131522240234,-0.5917307926830007,0.42853188528088954,0.15080574186702397,22.946298157031013
ARPAL_008,29.327813285367935,285.81626220500345,63.69502716040465,333.33442490036146,559571.8601037405,-0.14526251428544318,-0.545058668983849,0.30725131522240234,-0.5917307926830007,0.42853188528088954,0.15080574186702397,25.274896347364052
ARPAL_011,31.69862098904416,287.58883139335745,64.91552610492535,399.17608260021825,587610.9838845755,-0.368295026362722,-0.23293224017569367,0.6416825183160723,-1.1700513964101082,0.4428499555843394,-0.15569871799465262,20.00419730045637
ARPAL_012,30.63723594516918,287.58883139335745,64.91552610492535,399.17608260021825,587610.9838845755,-0.368295026362722,-0.23293224017569367,0.6416825183160723,-1.1700513964101082,0.4428499555843394,-0.15569871799465262,20.00419730045637
ARPAL_017,28.759242332480973,286.2134910871118,63.69502716040465,333.33442490036146,565634.0514195134,-0.12805080669333857,-0.4464859473954677,0.30725131522240234,-0.5917307926830007,0.42853188528088954,0.15080574186702397,22.946298157031013
ARPAL_019,30.920738057530652,287.3208483725673,64.32881619173891,380.1120675250966,575157.0013738268,-0.279771447812696,-0.40929220810688943,-0.24424380460903714,-1.1070169167517767,0.3203936950071756,-0.022656178099367767,22.67249657875255
ARPAL_020,34.91351678867141,287.6496874364907,64.60649674217979,382.181715780804,578699.9854848172,-0.20569604826347357,-0.06557644664830742,-0.021731522741746674,-0.9390661442651856,0.5526560545789324,0.35835582740291166,19.08584115947399
ARPAL_022,29.032935976193468,287.64453956316424,65.13752904917357,389.3090497993737,577417.9335969116,-0.1472765245019126,-0.15278020081090254,0.06897957828992668,-0.7156657010772782,0.4532743675967329,0.439411875146198,16.029446367120002
ARPAL_023,27.40786552114446,285.5220233453071,66.28171198635725,323.8010291573335,559228.8948923827,-0.060084834266892984,-0.3001195330042864,0.48906544865569745,-0.3788310890732519,0.24969212482706424,-0.05968276210781659,23.077155636507715
ARPAL_026,23.098436417867283,285.037559859196,67.56231935726363,327.57339679113875,554381.3554707867,-0.1490169599321893,-0.43606463872788515,-0.0785981071640022,-0.3047220111500246,-0.17449566081710574,-0.24877048746066618,30.76289294995503
ARPAL_027,32.149324144642435,287.3208483725673,64.32881619173891,380.1120675250966,575157.0013738268,-0.279771447812696,-0.40929220810688943,-0.24424380460903714,-1.1070169167517767,0.3203936950071756,-0.022656178099367767,22.67249657875255
ARPAL_028,26.822212388400988,287.18161879791234,66.39700384355591,386.4839812380642,576475.2495600415,-0.1693598207012765,0.12857788910243828,-0.033487147887057644,-0.7119170696528747,0.6599445091892265,0.5898306951202369,16.954304844572814
