Cluster,N_Stations,temperature_2m_mean,temperature_2m_std,humidity_950_mean,humidity_950_std,blh_mean,blh_std,solar_radiation_downwards_mean,solar_radiation_downwards_std,wind_u_10m_mean,wind_u_10m_std,wind_v_10m_mean,wind_v_10m_std,uwind_850_mean,uwind_850_std,uwind_950_mean,uwind_950_std,Vwind_850_mean,Vwind_850_std,Vwind_950_mean,Vwind_950_std,total_precipitation_mean,total_precipitation_std,pm10_mean,pm10_std
0,5,287.3751186306384,0.5640265382731524,65.69039119930787,0.22795617836322987,316.8182656469324,9.434256588613016,565145.5437742409,8076.75708471148,-0.8337160671142039,0.3391897305553727,-0.5998564771193653,0.02532414360238044,0.6608403549445456,0.07869159458471706,-1.5549602582566084,0.15942779112336417,0.17102939568844486,0.043271924699256524,-0.18515891688593347,0.06458730531856845,23.3964407467711,1.3133300845271105,31.443761159342507,2.77510497300501
1,6,281.3523429936278,2.513433550992969,68.7626411059129,4.403677406331189,400.1439807568313,10.07956592805643,560334.0886982977,3982.397914828865,-0.08589833240829658,0.05154731947100453,-0.12018322607862296,0.13651467512013435,-0.12746185018660097,0.04201045144911018,-0.10344103672970373,0.05653147390301919,-0.10036028012240648,0.11913407073461947,-0.16698675750665315,0.07944485827154676,21.35771884291861,0.4288438757345468,16.856077535529874,1.7292777772617822
2,11,281.82971574073815,2.615204405485095,71.22977186495274,2.435809897426526,330.62035193312767,16.38846307649907,556791.4335459335,16650.376918267186,0.06188449204195844,0.16861110335627924,-0.11061091223430716,0.16958874227240442,0.2005365222056777,0.16134808957677793,0.06678826466507506,0.20958720457093466,0.004095300951274694,0.11281131917323575,-0.10435381541136132,0.09383785654694166,28.77940880153956,1.703745584877963,18.811221068070594,3.6761221818424543
3,8,286.06040469324967,0.4656110187117855,65.88333653049433,2.0899874932562628,322.6062623890508,12.945637063174688,560165.1020054907,7431.825654508011,-0.13591400984435198,0.03571867727234167,-0.4337820452610164,0.11316312203331637,0.35491389803701157,0.15462610217852418,-0.5351520412848051,0.34461529468879715,0.2580924531925015,0.16887080679378133,-0.01938683223110614,0.14988016153751704,24.2808191553155,1.5555539709302515,28.431907751052343,2.3482842436538927
4,7,287.47074361848814,0.19089512692692995,64.9471020326054,0.7095818621263523,388.0787210098388,8.287234948687349,579732.7341655107,5523.350068850183,-0.2597807631167855,0.08954352062844874,-0.1963182364174197,0.1905883278566294,0.11551976215359894,0.3776597019901824,-0.9886836487598727,0.2030576602110892,0.456051747506846,0.12115221368623305,0.1472698007830437,0.3074339958383753,19.63185430422638,2.556463504707722,30.882083469950327,2.532733411125117
