variable,coefficient,effect_type,z_stat,p_value,significance
W_log_pm10,0.6803477142629105,Endogenous (ρ),,,
temperature_2m,0.2497301493307717,Direct (β),11.394053689270088,4.476674006284151e-30,***
humidity_950,0.17032469761382046,Direct (β),21.87503512860737,4.491660906123932e-106,***
blh,0.007784551361659762,Direct (β),0.9091402411758516,0.36327610338804794,
solar_radiation_downwards,-0.032774708474488844,Direct (β),-1.8043355912809902,0.07117871348371684,*
wind_u_10m,0.05434445333994264,Direct (β),4.519495957551647,6.198703120767689e-06,***
wind_v_10m,-0.100534531422334,Direct (β),-9.686647548453957,3.4362286671612346e-22,***
uwind_850,0.09750109881534326,Direct (β),10.908777755364317,1.046539182210391e-27,***
uwind_950,-0.3715955414129004,Direct (β),-13.56394433631374,6.551611486654839e-42,***
Vwind_850,-0.1317971373493279,Direct (β),-14.43427495433356,3.1494011493708006e-47,***
Vwind_950,0.3860778384570435,Direct (β),17.49317242066151,1.615108383743677e-68,***
total_precipitation,-0.056883600506876256,Direct (β),-9.333058528686959,1.0285899980959695e-20,***
lag_temperature_2m,-0.04842151794500744,Indirect (θ),-13.087410065595884,3.886348134848573e-39,***
lag_humidity_950,-0.03166653674495418,Indirect (θ),-23.059275766928927,1.187232632875872e-117,***
lag_blh,-0.018592161790571073,Indirect (θ),-12.928015810625258,3.1278716279895384e-38,***
lag_solar_radiation_downwards,0.006693170503773089,Indirect (θ),2.1461635039535256,0.031859936207133066,**
lag_wind_u_10m,0.0007273378215991166,Indirect (θ),0.3435482384495281,0.7311860574157143,
lag_wind_v_10m,-0.005888962566829321,Indirect (θ),-3.4546603236771696,0.0005509865167711926,***
lag_uwind_850,-0.009981332034596457,Indirect (θ),-6.0414155149354265,1.527679942618406e-09,***
lag_uwind_950,0.04151518366433869,Indirect (θ),13.75343530567471,4.856748392934569e-43,***
lag_Vwind_850,0.03276753327737035,Indirect (θ),19.54299644680246,4.732095555318227e-85,***
lag_Vwind_950,-0.013372122029814743,Indirect (θ),-4.302747211574678,1.6869328195532177e-05,***
lag_total_precipitation,0.0018278761558324502,Indirect (θ),1.662514507109251,0.0964096570506771,*
W_log_pm10,0.6803477142629105,Direct (β),218.83030333714458,0.0,***
