Station,Observed_PM10,Local_Effect,Spatial_Spillover,Spillover_Pct,Wy_Raw
Borgo Valsugana,10.118762444001991,16.05486911810067,1.4631904940721767,14.460172399239388,19.322593864713816
Monte Gaza,22.56352663016426,14.171202491478818,1.4682646285884966,6.507247969941159,19.389601845472978
Parco S. Chiara,19.65855268177039,18.772583802722643,1.3979690907135085,7.1112513385070395,18.46129337548028
Piana Rotaliana,22.976636386261823,17.104416516461935,1.4579767507521155,6.345475143715413,19.253742238697555
Riva del Garda,18.593587212352055,16.894972671123604,1.5183681296923954,8.166084964410288,20.051258415108347
Rovereto,19.694131616061057,17.104416516461935,1.4187515579785956,7.20393051918861,18.735742379965256
Via Bolzano,18.503388925241023,17.889300776833934,1.5195064971842418,8.212044308874889,20.066291462960184
"A22_sud,_Termeno,_c/o_Maso_Binnenland",16.911314251151524,15.784114575838167,1.4555805444729135,8.607140301788196,19.222098429544424
"Brunico_1,_c/o_parcheggio_di_via_Goethe",14.466396171454397,14.884871319333211,1.3095923149352378,9.052650704529794,17.294207782486968
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",15.47591546327021,13.467735214542593,1.2968514527636492,8.379804450609294,17.12595456718433
Bolzano_4-Via_C.Augusta,19.19076167493143,18.01211220911212,1.3573727865785299,7.073053219933648,17.925186901042032
Bolzano_5-P.zza_Adriano,16.81171158126479,18.01211220911212,1.3873981160481534,8.252569105422255,18.321695249986472
"Laces_1-Via_Stazione,_parcheggio_fs",17.135759277699147,16.278730142434334,1.4042568272849631,8.194891189400016,18.5443279363189
"Laives_1,_c/o_campi_sportivi_zona_Galizia",18.191539327797084,17.120996796107104,1.3023725557784585,7.159221285844699,17.198865122353055
"Merano_1,_Via_Trogman",17.18400439650677,16.101566060598174,1.4036479390604757,8.168340199830341,18.5362870831843
Bergamo-via_Garibaldi_PM10,30.57836668873493,25.75789283289576,2.0813876769132924,6.806732675097639,27.486379195976276
Brescia-Broletto_PM10,30.879925918171107,26.570054411370673,2.2295834942332666,7.220171123925144,29.443422794963688
Calusco_d'Adda_PM10,26.346959709871154,26.1681089203986,2.2289521219949413,8.459997459061062,29.435085022549202
Filago-via_Don_Milani_PM10,30.03736435912578,26.789383007037113,2.1823765514489155,7.265539430678706,28.820017581006766
Lallio_PM10,29.310697351570017,25.876039732843616,2.097386578999567,7.155703441109774,27.697657418837096
Mantova-p.zza_Gramsci_PM10,31.642488712954883,29.14852003146099,1.8895939614884114,5.9716983029681385,24.953590687594495
Mantova-S.Agnese_PM10,30.58247619408679,29.14852003146099,1.9029720846333038,6.222426439757187,25.130259440739177
Osio_Sotto_PM10,28.743735621532917,26.789383007037113,2.1045420452868684,7.321741589183989,27.79215104050995
Parona_PM10,30.884108419683937,28.53483505420275,2.1730046706714665,7.035996121832371,28.696254443708646
Pavia-p.zza_Minerva_PM10,34.86872453530546,28.917659768207653,2.210628641066173,6.33986092272419,29.193108887788338
Sannazzaro_de'_Burgondi-AGIP_PM10,28.98211145074549,28.584512003817856,2.284921947371339,7.883904356846179,30.174211068548335
Sarezzo-via_Minelli_PM10,27.407896554731703,23.421195395120648,2.1220945780618012,7.742639329596574,28.023946191914465
Valmadrera_PM10,23.07162157902611,22.92800782896316,2.270289253468064,9.840180698577045,29.980974711023375
Vigevano-via_Valletta_PM10,32.10766722316201,28.53483505420275,2.157562475360957,6.719773381121012,28.492327976462306
Voghera-via_Pozzoni_PM10,26.800442164141675,27.267431404104432,2.3124561885789627,8.62842551035584,30.537822616315633
Conegliano,24.04283750483052,25.28033067149774,2.10791301582487,8.767322140747167,27.836667386740736
TV_Lancieri,31.174822877479894,28.50571203359207,2.017902212287608,6.472858627675805,26.648003157965842
Mansue,27.457446982798206,28.965513310239842,2.0648181794197793,7.52006616169874,27.267565807079457
TV_S_Agnese,33.46972866841913,28.29446295242983,1.9889388446569163,5.942500652936603,26.265518859475968
Bissuola,30.3309274689519,31.407164745739244,2.028552781498575,6.688067101064064,26.788652392720508
VE_Tagliamento,34.46831587879331,30.527778344747333,1.9763359532443077,5.7337757962820906,26.09908765774694
