Neighbor,Weight,Neighbor_PM10,Contribution,BLH,WindSpeed,Mechanism,Pct_of_Spillover
Piana Rotaliana,0.16666666666666666,22.976636386261823,3.8294393977103036,338.1558729845746,0.6277734624164563,Mixed factors,20.743072112143814
Monte Gaza,0.16666666666666666,22.56352663016426,3.7605877716940435,339.1614516303717,0.7246593117514095,Mixed factors,20.370120853443236
Rovereto,0.16666666666666666,19.694131616061057,3.282355269343509,338.1558729845746,0.6277734624164563,Mixed factors,17.779660409400307
Via Bolzano,0.16666666666666666,18.503388925241023,3.083898154206837,330.6601804217947,0.6953526284507183,Mixed factors,16.70467009804836
"A22_sud,_Termeno,_c/o_Maso_Binnenland",0.16666666666666666,16.911314251151524,2.8185523751919206,390.7211506578106,0.7432021653836479,Mixed factors,15.267361380733133
Borgo Valsugana,0.16666666666666666,10.118762444001991,1.686460407333665,315.0875285091619,0.6601749116115272,Mixed factors,9.135115146231138
