variable,coefficient,effect_type,z_stat,p_value,significance
W_log_pm10,0.7359981066677241,Endogenous (ρ),,,
temperature_2m,-0.14911453266764926,Direct (β),-2.7988901775559203,0.005127857475805791,***
humidity_950,0.016291733129058864,Direct (β),0.8595804935996171,0.3900203314535048,
blh,0.08060236384503791,Direct (β),5.102152839536027,3.358113725538105e-07,***
solar_radiation_downwards,0.14647133383348224,Direct (β),2.433374454545717,0.014958821972411673,**
wind_u_10m,-0.10934103533411467,Direct (β),-5.0586408751528396,4.2225524277904343e-07,***
wind_v_10m,-0.09529368093465317,Direct (β),-4.865914567181988,1.1392872691782898e-06,***
uwind_850,0.47775330746603883,Direct (β),6.677542658734746,2.4298189672444773e-11,***
uwind_950,0.19285247240001097,Direct (β),2.4044158992061777,0.01619833288997328,**
Vwind_850,0.020853806328460144,Direct (β),1.0235232430093963,0.30606051606287654,
Vwind_950,0.3452630599831129,Direct (β),10.286985802719462,8.066192823589633e-25,***
total_precipitation,-0.02118536506244588,Direct (β),-1.6516591930650804,0.09860404581187596,*
lag_temperature_2m,0.019074108711401548,Indirect (θ),2.1594843023527965,0.030812613878364384,**
lag_humidity_950,-0.013878768693556899,Indirect (θ),-4.253078745124719,2.1085138927822434e-05,***
lag_blh,-0.02394894903233415,Indirect (θ),-8.649939108459941,5.152691678683734e-18,***
lag_solar_radiation_downwards,-0.027861385735518072,Indirect (θ),-2.7349410147401727,0.006239145519999453,***
lag_wind_u_10m,0.028063758388272107,Indirect (θ),4.66212519262333,3.129607056337163e-06,***
lag_wind_v_10m,0.0012504623983661534,Indirect (θ),0.23630715999410598,0.8131943313837329,
lag_uwind_850,-0.03830269409321438,Indirect (θ),-3.4966031040932233,0.00047122235550694846,***
lag_uwind_950,-0.08060430863394322,Indirect (θ),-4.024604627409215,5.707111673566699e-05,***
lag_Vwind_850,0.010537070017931579,Indirect (θ),2.5791820943863275,0.009903456677987059,***
lag_Vwind_950,-0.037804218758821354,Indirect (θ),-3.6669244072281137,0.0002454853264244809,***
lag_total_precipitation,0.0006692010491709966,Indirect (θ),0.31675163047184757,0.7514320689237994,
W_log_pm10,0.7359981066677241,Direct (β),96.7368048189659,0.0,***
