Station,Out_Degree,In_Degree,Eigenvector_Centrality,PM10_Mean,Spillover_Received,Pollution_Export
Pavia-p.zza_Minerva_PM10,1.0,1.1666666666666665,0.9999999999999993,34.86872453530546,2.210628641066173,34.86872453530546
VE_Tagliamento,0.9999999999999999,0.8333333333333333,0.9999999999999969,34.46831587879331,1.9763359532443077,34.468315878793305
TV_S_Agnese,0.9999999999999999,0.8333333333333333,0.9999999999999969,33.46972866841913,1.9889388446569163,33.46972866841912
Vigevano-via_Valletta_PM10,1.0,0.6666666666666666,0.9999999999999993,32.10766722316201,2.157562475360957,32.10766722316201
Mantova-p.zza_Gramsci_PM10,1.0,0.16666666666666666,0.9999999999999926,31.642488712954883,1.8895939614884114,31.642488712954883
TV_Lancieri,0.9999999999999999,0.8333333333333333,0.9999999999999969,31.174822877479894,2.017902212287608,31.17482287747989
Parona_PM10,1.0,0.6666666666666666,0.9999999999999993,30.884108419683937,2.1730046706714665,30.884108419683937
Brescia-Broletto_PM10,1.0,0.5,0.9999999999999986,30.879925918171107,2.2295834942332666,30.879925918171107
Mantova-S.Agnese_PM10,1.0,0.3333333333333333,0.9999999999999927,30.58247619408679,1.9029720846333038,30.58247619408679
Bergamo-via_Garibaldi_PM10,0.9999999999999999,1.1666666666666665,0.9999999999999989,30.57836668873493,2.0813876769132924,30.578366688734928
Bissuola,0.9999999999999999,0.8333333333333333,0.9999999999999969,30.3309274689519,2.028552781498575,30.330927468951895
Filago-via_Don_Milani_PM10,1.0,1.6666666666666667,1.0,30.03736435912578,2.1823765514489155,30.03736435912578
Lallio_PM10,1.0,1.1666666666666665,0.9999999999999989,29.310697351570017,2.097386578999567,29.310697351570017
Sannazzaro_de'_Burgondi-AGIP_PM10,1.0,0.6666666666666666,0.9999999999999993,28.98211145074549,2.284921947371339,28.98211145074549
Osio_Sotto_PM10,0.9999999999999999,1.1666666666666665,0.9999999999999989,28.743735621532917,2.1045420452868684,28.743735621532913
Mansue,0.9999999999999999,0.8333333333333333,0.9999999999999969,27.457446982798206,2.0648181794197793,27.457446982798203
Sarezzo-via_Minelli_PM10,1.0,0.9999999999999999,0.9999999999999969,27.407896554731703,2.1220945780618012,27.407896554731703
Voghera-via_Pozzoni_PM10,1.0,0.6666666666666666,0.9999999999999993,26.800442164141675,2.3124561885789627,26.800442164141675
Calusco_d'Adda_PM10,1.0,1.6666666666666667,0.9999999999999996,26.346959709871154,2.2289521219949413,26.346959709871154
Conegliano,0.9999999999999999,0.8333333333333333,0.9999999999999969,24.04283750483052,2.10791301582487,24.042837504830516
Valmadrera_PM10,1.0,1.1666666666666665,0.9999999999999996,23.07162157902611,2.270289253468064,23.07162157902611
Piana Rotaliana,1.0,2.0,0.9999999999999882,22.976636386261823,1.4579767507521155,22.976636386261823
Monte Gaza,1.0,1.1666666666666665,0.9999999999999886,22.56352663016426,1.4682646285884966,22.56352663016426
Rovereto,1.0,1.3333333333333333,0.9999999999999873,19.694131616061057,1.4187515579785956,19.694131616061057
Parco S. Chiara,1.0,1.1666666666666665,0.9999999999999886,19.65855268177039,1.3979690907135085,19.65855268177039
Bolzano_4-Via_C.Augusta,1.0,1.1666666666666665,0.9999999999999897,19.19076167493143,1.3573727865785299,19.19076167493143
Riva del Garda,1.0,0.9999999999999999,0.9999999999999886,18.593587212352055,1.5183681296923954,18.593587212352055
Via Bolzano,1.0,1.1666666666666665,0.9999999999999887,18.503388925241023,1.5195064971842418,18.503388925241023
"Laives_1,_c/o_campi_sportivi_zona_Galizia",1.0,1.5,0.9999999999999897,18.191539327797084,1.3023725557784585,18.191539327797084
"Merano_1,_Via_Trogman",1.0,0.9999999999999999,0.9999999999999899,17.18400439650677,1.4036479390604757,17.18400439650677
"Laces_1-Via_Stazione,_parcheggio_fs",1.0,0.16666666666666666,0.9999999999999899,17.135759277699147,1.4042568272849631,17.135759277699147
"A22_sud,_Termeno,_c/o_Maso_Binnenland",1.0,2.1666666666666665,0.9999999999999896,16.911314251151524,1.4555805444729135,16.911314251151524
Bolzano_5-P.zza_Adriano,1.0,1.1666666666666665,0.99999999999999,16.81171158126479,1.3873981160481534,16.81171158126479
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",1.0,0.5,0.9999999999999909,15.47591546327021,1.2968514527636492,15.47591546327021
"Brunico_1,_c/o_parcheggio_di_via_Goethe",1.0,0.16666666666666666,0.9999999999999906,14.466396171454397,1.3095923149352378,14.466396171454397
Borgo Valsugana,1.0,1.5,0.9999999999999906,10.118762444001991,1.4631904940721767,10.118762444001991
