variable,coefficient,effect_type,z_stat,p_value,significance
W_log_pm10,0.7141793520560267,Endogenous (ρ),,,
temperature_2m,0.5476867310562035,Direct (β),6.534983240225584,6.361666481555595e-11,***
humidity_950,0.05357028263012209,Direct (β),2.763662997114327,0.005715653726910973,***
blh,-0.0981563018482985,Direct (β),-4.424890157319375,9.649136699733193e-06,***
solar_radiation_downwards,0.7295471264681673,Direct (β),8.81374724683403,1.2103075959134379e-18,***
wind_u_10m,0.017559087432154882,Direct (β),1.3394474705685635,0.1804250443398091,
wind_v_10m,-0.01646280882203289,Direct (β),-1.4695329214763144,0.1416882991536605,
uwind_850,0.039454160698240516,Direct (β),3.0059979721160404,0.002647107631436289,***
uwind_950,-0.038513919988236854,Direct (β),-3.263769142135884,0.001099407076264587,***
Vwind_850,-0.0253443701280541,Direct (β),-1.536953356691441,0.12430473192217129,
Vwind_950,-0.011314290100966212,Direct (β),-0.83420870997324,0.4041633838265548,
total_precipitation,0.018124870363474564,Direct (β),1.2742897079091404,0.2025607626653475,
lag_temperature_2m,-0.09736390216948453,Indirect (θ),-6.957927726416884,3.453142728661776e-12,***
lag_humidity_950,-0.013061428463693733,Indirect (θ),-3.8644967694393717,0.00011131846324234605,***
lag_blh,0.0047647265621332605,Indirect (θ),1.2419075172831944,0.2142706862162419,
lag_solar_radiation_downwards,-0.1284118262357023,Indirect (θ),-9.293600577230618,1.4915533105695212e-20,***
lag_wind_u_10m,-0.011225930426318581,Indirect (θ),-4.578947938950208,4.673204841455305e-06,***
lag_wind_v_10m,0.0064139380702421915,Indirect (θ),3.032255236126837,0.0024273386351348915,***
lag_uwind_850,-0.005951284518889947,Indirect (θ),-2.4523399781393493,0.014193049213346326,**
lag_uwind_950,0.014417591324009117,Indirect (θ),5.999792829014732,1.975694348633299e-09,***
lag_Vwind_850,0.006151777849307441,Indirect (θ),2.24769465713245,0.024595666935397185,**
lag_Vwind_950,0.006911668216732277,Indirect (θ),2.9281461788288987,0.003409896880355874,***
lag_total_precipitation,-0.013808854347917994,Indirect (θ),-5.508210959930223,3.6249883610056504e-08,***
W_log_pm10,0.7141793520560267,Direct (β),94.16870004099695,0.0,***
