Station,PM10_Mean,Pollution_Export,Eigenvector_Centrality
Pavia-p.zza_Minerva_PM10,34.86872453530546,34.86872453530546,0.9999999999999993
VE_Tagliamento,34.46831587879331,34.468315878793305,0.9999999999999969
TV_S_Agnese,33.46972866841913,33.46972866841912,0.9999999999999969
Vigevano-via_Valletta_PM10,32.10766722316201,32.10766722316201,0.9999999999999993
Mantova-p.zza_Gramsci_PM10,31.642488712954883,31.642488712954883,0.9999999999999926
TV_Lancieri,31.174822877479894,31.17482287747989,0.9999999999999969
Parona_PM10,30.884108419683937,30.884108419683937,0.9999999999999993
Brescia-Broletto_PM10,30.879925918171107,30.879925918171107,0.9999999999999986
Mantova-S.Agnese_PM10,30.58247619408679,30.58247619408679,0.9999999999999927
Bergamo-via_Garibaldi_PM10,30.57836668873493,30.578366688734928,0.9999999999999989
