Station,Observed_PM10,Local_Effect,Spatial_Spillover,Spillover_Pct,Wy_Raw
Borgo Valsugana,10.118762444001991,16.05486911810067,1.4631904940721767,14.460172399239388,19.322593864713816
Monte Gaza,22.56352663016426,14.171202491478818,1.4682646285884966,6.507247969941159,19.389601845472978
Parco S. Chiara,19.65855268177039,18.772583802722643,1.3979690907135085,7.1112513385070395,18.46129337548028
Piana Rotaliana,22.976636386261823,17.104416516461935,1.4579767507521155,6.345475143715413,19.253742238697555
