variable,coefficient,effect_type,z_stat,p_value,significance
W_log_pm10,0.7154338346493805,Endogenous (ρ),,,
temperature_2m,-0.09784419289565505,Direct (β),-5.007851871984976,5.504086703973848e-07,***
humidity_950,0.01361496569986645,Direct (β),2.7304947695303565,0.006323933660617662,***
blh,-0.010889656092353012,Direct (β),-1.9547947502392902,0.050607301065855474,*
solar_radiation_downwards,-0.07729337694527988,Direct (β),-7.060160361544679,1.6631056312489336e-12,***
wind_u_10m,0.02064863893144931,Direct (β),5.316923635818875,1.0553633329713695e-07,***
wind_v_10m,0.0036626322334874437,Direct (β),1.0374110034366877,0.2995443524106838,
uwind_850,0.004328453053204015,Direct (β),0.9159357736308795,0.35970058230729673,
uwind_950,0.0063454244007339275,Direct (β),1.523236969731532,0.12769942992397051,
Vwind_850,0.012581622496760949,Direct (β),2.4371505127405433,0.014803516210170814,**
Vwind_950,-0.005570499001985677,Direct (β),-1.9065364453349933,0.056580641870978624,*
total_precipitation,-0.023062072729727556,Direct (β),-5.815415046104168,6.048362491472565e-09,***
lag_temperature_2m,0.017382934302954782,Indirect (θ),5.253679437351414,1.4909028244323793e-07,***
lag_humidity_950,-0.004958542741685342,Indirect (θ),-5.109425972045742,3.2313906871889764e-07,***
lag_blh,-0.01026825407056724,Indirect (θ),-9.81793842508669,9.425125776390652e-23,***
lag_solar_radiation_downwards,0.008545360158804152,Indirect (θ),4.527370924909915,5.9722057167835455e-06,***
lag_wind_u_10m,-0.006319982942085739,Indirect (θ),-6.184640590073682,6.22441188915169e-10,***
lag_wind_v_10m,-0.0049795323848638925,Indirect (θ),-6.01295418568082,1.8217253473468542e-09,***
lag_uwind_850,0.0022848221447344438,Indirect (θ),2.238622543107231,0.025180486179787583,**
lag_uwind_950,-0.0031463141163573533,Indirect (θ),-2.58826485202847,0.009646078170315844,***
lag_Vwind_850,-0.0004478305597228763,Indirect (θ),-0.42516050038005754,0.6707196765640442,
lag_Vwind_950,0.004512702270821428,Indirect (θ),6.095635507292835,1.0900352966087556e-09,***
lag_total_precipitation,-0.005559931684794035,Indirect (θ),-8.35524118544356,6.529915514697307e-17,***
W_log_pm10,0.7154338346493805,Direct (β),292.7772768353698,0.0,***
