Station,Observed_PM10,Local_Effect,Spatial_Spillover,Spillover_Pct,Wy_Raw
Borgo Valsugana,10.118762444001991,11.836421526362017,9.723045616800134,96.08927643679961,19.437155989662216
Monte Gaza,22.56352663016426,11.09957980043805,9.000217540502419,39.88834586021847,17.992164098599805
Parco S. Chiara,19.65855268177039,11.424298056267673,9.242409987371294,47.01470213492314,18.476326423332118
Piana Rotaliana,22.976636386261823,10.322803107102459,9.688603978275289,42.167198955493305,19.368304363645958
Riva del Garda,18.593587212352055,12.541750682601503,9.331197906798899,50.18503315272061,18.653820668235173
Rovereto,19.694131616061057,12.725420902629537,9.239443713213273,46.91470481327684,18.47039660095034
"A22_sud,_Termeno,_c/o_Maso_Binnenland",16.911314251151524,9.32261321978649,9.505468151797388,56.207743588882465,19.00220100808871
"Brunico_1,_c/o_parcheggio_di_via_Goethe",14.466396171454397,6.256300632879515,8.651078957486046,59.80120311205537,17.294207782486968
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",15.47591546327021,6.668979355447959,8.566913676905342,55.35642590732446,17.12595456718433
Bolzano_4-Via_C.Augusta,19.19076167493143,8.189656226202146,8.966713547043396,46.724114961817605,17.925186901042032
Bolzano_5-P.zza_Adriano,16.81171158126479,8.106148018220097,9.165058858789587,54.51591775463991,18.321695249986472
"Laces_1-Via_Stazione,_parcheggio_fs",17.135759277699147,6.638737396307647,9.276426373983284,54.13490131164382,18.5443279363189
"Laives_1,_c/o_campi_sportivi_zona_Galizia",18.191539327797084,8.668565115549768,8.603385712949542,47.293335423261155,17.19886512235305
"Merano_1,_Via_Trogman",17.18400439650677,6.502843678592626,9.272404099229338,53.95950725614496,18.5362870831843
Bergamo-via_Garibaldi_PM10,30.57836668873493,12.965522345271722,13.749507330459402,44.96481931301033,27.486379195976276
Brescia-Broletto_PM10,30.879925918171107,14.786118403010278,14.728478955585098,47.695965963824456,29.443422794963688
Calusco_d'Adda_PM10,26.346959709871154,12.850480451991984,14.724308152944442,55.88617554012439,29.435085022549202
Filago-via_Don_Milani_PM10,30.03736435912578,13.376352424133586,14.416633059185544,47.995665953978964,28.820017581006766
Lallio_PM10,29.310697351570017,13.184649747595188,13.855195004098734,47.27009677699321,27.697657418837096
Mantova-p.zza_Gramsci_PM10,31.642488712954883,18.467040323239758,12.48253091591599,39.448638282378425,24.953590687594495
Mantova-S.Agnese_PM10,30.58247619408679,18.43638961622105,12.570905899725481,41.10493152989391,25.130259440739177
Osio_Sotto_PM10,28.743735621532917,13.527542041796266,13.902463534253581,48.366933641842884,27.79215104050995
Parona_PM10,30.884108419683937,15.409019728352064,14.354723043632449,46.47931825832954,28.696254443708646
Pavia-p.zza_Minerva_PM10,34.86872453530546,16.614202200728982,14.603264467453203,41.880695844400705,29.19310888778834
Sannazzaro_de'_Burgondi-AGIP_PM10,28.98211145074549,17.047515151027994,15.09404106374872,52.0805431633259,30.17421106854833
Sarezzo-via_Minelli_PM10,27.407896554731703,13.826109367509218,14.018414387971989,51.147355872342004,28.023946191914465
Valmadrera_PM10,23.07162157902611,11.44252847436087,14.997378469692332,65.00357340866803,29.980974711023375
Vigevano-via_Valletta_PM10,32.10766722316201,15.255674523921357,14.25271293759823,44.3903720520578,28.492327976462303
Voghera-via_Pozzoni_PM10,26.800442164141675,18.053342384639166,15.275930413590702,56.998799945284176,30.537822616315637
Conegliano,24.04283750483052,14.004431297905342,13.924731939432064,57.91634176554412,27.836667386740736
TV_Lancieri,31.174822877479894,15.795346533677218,13.330126611081367,42.75926975902981,26.648003157965842
Mansue,27.457446982798206,15.011829886136866,13.640050341847386,49.677052460094814,27.267565807079457
TV_S_Agnese,33.46972866841913,15.723854325770901,13.138796547984441,39.255760565462104,26.265518859475968
Bissuola,30.3309274689519,17.152837104775017,13.400483556624993,44.18092249352523,26.788652392720508
VE_Tagliamento,34.46831587879331,17.177773481948634,13.05554269297958,37.87693816805254,26.09908765774694
