Station,Observed_PM10,Local_Effect,Spatial_Spillover,Spillover_Pct,Wy_Raw
Borgo Valsugana,10.118762444001991,11.836421526362017,9.723045616800134,96.08927643679961,19.437155989662216
Monte Gaza,22.56352663016426,11.09957980043805,9.000217540502419,39.88834586021847,17.992164098599805
Parco S. Chiara,19.65855268177039,11.424298056267673,9.242409987371294,47.01470213492314,18.476326423332118
Piana Rotaliana,22.976636386261823,10.322803107102459,9.688603978275289,42.167198955493305,19.368304363645958
