,Borgo Valsugana,Monte Gaza,Parco S. Chiara,Piana Rotaliana
Borgo Valsugana,1.0358012947367796,0.03472147963994262,0.12628212322449442,0.15278832787259336
Monte Gaza,0.12282059684687292,1.0448409956105733,0.1430982719929936,0.15351512232940476
Parco S. Chiara,0.12282059684687295,0.12179671273866449,1.066142554864903,0.15351512232940479
Piana Rotaliana,0.042497927534647935,0.11245595137654259,0.1275762220123069,1.075888541733131
