Station,Observed_PM10,Total_Spillover,Internal_Spillover,External_Spillover,Internal_Pct,External_Pct
Borgo Valsugana,10.118762444001991,9.723045616800134,3.554565702323371,6.168479914476762,36.55815104046774,63.44184895953225
Monte Gaza,22.56352663016426,9.000217540502419,4.398183538191627,4.602034002310792,48.86752479480742,51.13247520519258
Parco S. Chiara,19.65855268177039,9.242409987371293,4.640375985060501,4.602034002310792,50.207424161025635,49.792575838974365
Piana Rotaliana,22.976636386261823,9.688603978275289,3.5201240637985265,6.168479914476762,36.33262409828789,63.667375901712106
