Station,Out_Influence,In_Influence,Self_Feedback,Net_Influence,Is_Target
Borgo Valsugana,1.7409076636465568,0.9651185263888904,1.0358012947367796,0.7757891372576664,True
Monte Gaza,0.9375528071688357,0.9560788255150964,1.0448409956105733,-0.018526018346260664,True
Parco S. Chiara,1.2083656695688574,0.9347772662607674,1.066142554864903,0.27358840330809,True
Piana Rotaliana,2.0455795210267773,0.9250312793925388,1.075888541733131,1.1205482416342385,True
Riva del Garda,0.85364975406667,0.9678926918439623,1.0330271292817077,-0.11424293777729233,False
Rovereto,1.1417846892087684,0.9466270784066452,1.0542927427190247,0.19515761080212324,False
"A22_sud,_Termeno,_c/o_Maso_Binnenland",2.2467195978460315,0.9238933185032236,1.0770265026224468,1.3228262793428078,False
"Brunico_1,_c/o_parcheggio_di_via_Goethe",0.11625930659904017,0.9918568071442325,1.0090630139814374,-0.8755975005451924,False
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",0.4714263593583152,0.9691693426214102,1.0317504785042597,-0.497742983263095,False
Bolzano_4-Via_C.Augusta,1.6102996723274856,0.929257627422776,1.0716621937028936,0.6810420449047097,False
Bolzano_5-P.zza_Adriano,1.1690012774635026,0.9418576749692986,1.0590621461563712,0.22714360249420396,False
"Laces_1-Via_Stazione,_parcheggio_fs",0.1744739259781594,0.9896364418984291,1.0112833792272407,-0.8151625159202698,False
"Laives_1,_c/o_campi_sportivi_zona_Galizia",1.6118099145621647,0.9307678696574546,1.0701519514682154,0.6810420449047101,False
"Merano_1,_Via_Trogman",1.1696808049379743,0.9425372024437706,1.0583826186818992,0.22714360249420373,False
Bergamo-via_Garibaldi_PM10,1.2200636849874256,0.9296463299962721,1.0712734911293982,0.2904173549911535,False
Brescia-Broletto_PM10,0.33033268572160457,0.9825711141875542,1.018348706938116,-0.6522384284659496,False
Calusco_d'Adda_PM10,1.6206885740011283,0.9273298615848482,1.0735899595408218,0.6933587124162801,False
Filago-via_Don_Milani_PM10,1.6257471322505006,0.9264002864515717,1.0745195346740988,0.6993468457989289,False
Lallio_PM10,1.2200636849874253,0.929646329996272,1.071273491129398,0.2904173549911534,False
Mantova-p.zza_Gramsci_PM10,0.09269120892918159,0.9932162749756628,1.007703546150007,-0.9005250660464812,False
Mantova-S.Agnese_PM10,0.1887391383930424,0.9854754606900826,1.0154443604355874,-0.7967363222970403,False
Osio_Sotto_PM10,1.2200636849874256,0.9296463299962718,1.0712734911293982,0.29041735499115373,False
Parona_PM10,0.53248191851109,0.9591294617591932,1.041790359366477,-0.4266475432481033,False
Pavia-p.zza_Minerva_PM10,1.09722410702673,0.9328598813214242,1.0680599398042456,0.16436422570530573,False
Sannazzaro_de'_Burgondi-AGIP_PM10,0.5324819185110901,0.9591294617591933,1.041790359366477,-0.4266475432481033,False
Sarezzo-via_Minelli_PM10,0.8353596954037038,0.9586036371586786,1.0423161839669917,-0.12324394175497477,False
Valmadrera_PM10,1.2228722790109952,0.9384430574024901,1.06247676372318,0.28442922160850503,False
Vigevano-via_Valletta_PM10,0.53248191851109,0.9591294617591931,1.0417903593664766,-0.42664754324810317,False
Voghera-via_Pozzoni_PM10,0.5324819185110901,0.9591294617591932,1.0417903593664768,-0.42664754324810317,False
Conegliano,0.65983709434532,0.9459081193846969,1.0550117017409735,-0.28607102503937687,False
TV_Lancieri,0.65983709434532,0.9459081193846972,1.0550117017409728,-0.2860710250393772,False
Mansue,0.6598370943453198,0.9459081193846972,1.055011701740973,-0.2860710250393774,False
TV_S_Agnese,0.65983709434532,0.9459081193846972,1.0550117017409733,-0.2860710250393772,False
Bissuola,0.65983709434532,0.9459081193846972,1.0550117017409733,-0.2860710250393772,False
VE_Tagliamento,0.65983709434532,0.9459081193846972,1.0550117017409733,-0.2860710250393772,False
